gene_symbol,AnCg.F_DLPFC.F_AnCg.M_DLPFC.M,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
ASB1,+-+-,0.4783152796378229,0.6858596563155612,0.6079246608471864,-1,1.2158493216943729,0.49563679917869163,0.48494182067077346,0.9698836413415469
ASB10,+-++,0.13086923354202767,0.8781821043881934,0.2443094777827573,-1,0.4886189555655146,0.2453658814806365,0.24195756331279944,0.4839151266255989
ASB13,++++,0.0199701042695376,0.576213897513766,0.14549145745655095,-1,0.2909829149131019,0.14544002737694633,0.14904175222450378,0.29088005475389267
ASB14,+---,0.15733579326987454,0.5022565596876432,0.5080552842074676,1,1.0045131193752863,0.4567647729865389,0.44344949523755206,0.8868989904751041
ASB15,++-+,0.18457047685590058,0.3832475774088608,0.5698780580371223,1,0.7664951548177216,0.3736595938854666,0.3654251981976844,0.7308503963953688
ASB16,----,0.1276948017381769,0.31621914890529884,0.459212125817168,1,0.6324382978105977,0.3162217659137577,0.3070780813323447,0.6141561626646894
ASB17,--+-,0.07225370767365485,0.9594022964252645,0.06643267334773931,-1,0.13286534669547861,0.061427023327439684,0.07038558065252111,0.12285404665487937
ASB18,+---,0.2502437252370942,0.43025012007610813,0.7169049433394159,1,0.8605002401522163,0.40811088295687886,0.3980493925740033,0.7960987851480066
ASB2,--+-,0.020178941668385766,0.9167421318779896,0.0536601923356417,-1,0.1073203846712834,0.04956367991786916,0.05760894364590463,0.09912735983573832
ASB3,++-+,0.20231403317838373,0.2760781880712906,0.8494468427004589,1,0.5521563761425812,0.2785192790326261,0.27120287457936465,0.5424057491587293
ASB4,++-+,0.22101121557256193,0.37229330573722036,0.8147935821886374,1,0.7445866114744407,0.36384896189824323,0.35510180801916386,0.7102036160383277
ASB5,++++,0.22508624203412403,0.43857669647613146,0.4267735788458672,-1,0.8535471576917344,0.4059772999486682,0.3963609399954369,0.7927218799908738
ASB6,+++-,0.3277405692159192,0.22070807134572965,0.9294413100727827,1,0.4414161426914593,0.222621492128679,0.2208977356983973,0.4417954713967946
ASB7,-+-+,0.2172417941752816,0.5159474235598495,0.5527615423400003,1,1.031894847119699,0.46349532283823863,0.4506359436491188,0.9012718872982376
ASB8,++++,0.1349685978104926,0.44033711673650133,0.3704032186058444,-1,0.7408064372116888,0.3621171505161695,0.3531257129819758,0.7062514259639516
ASCC1,-+--,0.2003836701395699,0.08785838615627309,0.8718488403729586,1,0.17571677231254618,0.08321925621720283,0.09302458221639194,0.16643851243440566
ASCC2,+---,0.09574835700118713,0.09215934317705658,0.9577466739905203,1,0.18431868635411316,0.0878964179785535,0.09684594764159014,0.175792835957107
ASCC3,++-+,0.019075244706590142,0.036878247329679696,0.9350776105752818,1,0.07375649465935939,0.035192790326260555,0.040380995836422746,0.07038558065252111
ASCL1,+-++,0.13963982649442222,0.5538509579332169,0.2358551444444463,-1,0.4717102888888926,0.2373239034962642,0.23340177960301164,0.4668035592060233
ASCL2,+-++,0.09216792365875638,0.8735850827687692,0.17222723814808888,-1,0.34445447629617776,0.1721895853533337,0.1739105635409537,0.3443791707066674
ASCL3,+---,0.26311718870742506,0.21040042969754696,0.899529455741098,1,0.42080085939509393,0.21218343600273784,0.21125876917812125,0.4225175383562425
ASCL4,---+,0.04843352855204205,0.720629460979944,0.03427422332574844,-1,0.06854844665149688,0.032909370900587466,0.03764544832306639,0.06581874180117493
ASCL5,----,0.282640088982203,0.6894603049878413,0.4005248618832258,-1,0.8010497237664516,0.388068214224605,0.37942048825005703,0.7588409765001141
ASF1A,-+++,0.31304605671500507,0.6056318010975622,0.5319756719347416,-1,1.0639513438694832,0.4711686533964524,0.45790554414784396,0.9158110882956879
ASF1B,--+-,0.11660124816058756,0.7974269424352393,0.24374809159930694,-1,0.4874961831986139,0.24490959904180687,0.24127310061601642,0.48254620123203285
ASGR1,+-+-,0.0692344954395659,0.7982469179593468,0.10567481977854593,-1,0.21134963955709185,0.1027776193463754,0.11025553274013233,0.2055552386927508
ASGR2,+++-,0.02133624229818297,0.03266268210397034,0.743729539051877,1,0.06532536420794068,0.03131416837782341,0.03661666571607825,0.06262833675564682
ASH1L,++++,0.15528694255128592,0.3799029706616451,0.6865160790644139,1,0.7598059413232902,0.3709217430983345,0.36257343295499916,0.7251468659099983
ASH2L,++++,0.1961216573534908,0.33804758398457824,0.5002798657523243,1,0.6760951679691565,0.3363563769107917,0.3248160611418468,0.6496321222836936
ASIC1,+++-,0.0917017667879996,0.10612120454501833,0.5752060475195027,1,0.21224240909003667,0.10306867442391056,0.11093366794045514,0.20613734884782112
ASIC2,+++-,0.24616799280926083,0.26941201282074406,0.9012288257495458,1,0.5388240256414881,0.2716176135067305,0.2653282381794331,0.5306564763588661
ASIC3,+---,0.22239076118641402,0.21455186515537614,0.7398649352757827,1,0.4291037303107523,0.21623317362537076,0.21508013460331946,0.4301602692066389
ASIC4,+-++,0.2051115528714989,0.6226997053123795,0.3231903713979539,-1,0.6463807427959078,0.3221924371185764,0.3127424138717773,0.6254848277435546
ASIC5,++-+,0.4604827655899404,0.4350356571301187,0.7901154936312094,1,0.8700713142602374,0.412217659137577,0.4008441225118348,0.8016882450236696
ASIP,-+++,0.3487228437646719,0.711636919118214,0.4976534199603782,-1,0.9953068399207564,0.45365881480636516,0.4411362080766598,0.8822724161533196
ASL,+-+-,0.047478891781560346,0.7456779122623507,0.12401906480139568,-1,0.24803812960279137,0.12285404665487937,0.12759525439196898,0.24570809330975873
ASNA1,+-+-,0.019561626204807826,0.19875134082860027,0.11782307775294089,-1,0.23564615550588178,0.11589573946272742,0.121492128678987,0.23179147892545485
ASNS,+++-,0.15431156032731902,0.19544828594005306,0.7433614884691477,1,0.3908965718801061,0.19615560118640202,0.19545998973364512,0.39091997946729024
ASNSD1,-+++,0.2591339301175065,0.758436243585419,0.18296969738294017,-1,0.36593939476588033,0.1833685051046598,0.18263746292493727,0.36527492584987453
ASPA,----,0.005592516426115587,0.5944675941261062,0.04026201518306759,-1,0.08052403036613517,0.03832772486168939,0.043862651152178876,0.07665544972337877
