gene_symbol,female_Nac_female_Subic_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p,meta_Up,meta_Down,empirical_meta_p
OR13C5,-+-+,0.16366207,0.8234706495600925,0.19449018754831515,-1,0.3889803750966303,0.19417405201220397,0.20653832183073012,0.38834810402440795
NIPSNAP3A,-++-,0.104736308,0.2767046099487068,0.7877973543025707,1,0.5534092198974137,0.26698147475481293,0.2867209065814325,0.5339629495096259
NIPSNAP3B,-+-+,0.092451352,0.3367690648410562,0.28387528194225986,-1,0.5677505638845197,0.2729914281563272,0.29342535415909915,0.5459828563126544
ABCA1,-++-,0.088104619,0.25721054764242773,0.7612767328455631,1,0.5144210952848555,0.24954594987286596,0.26783379340403896,0.4990918997457319
SLC44A1,+++-,0.032681717,0.0790962642125453,0.8000125051115576,1,0.1581925284250906,0.07177624409734834,0.07983437454598286,0.14355248819469668
FSD1L,-+++,0.071352067,0.8231573369791325,0.17533189320265236,-1,0.3506637864053047,0.1744152259189307,0.18510715583000364,0.3488304518378614
FKTN,+++-,0.095316498,0.09434543468915803,0.8968936577132604,1,0.18869086937831606,0.08863058481656375,0.09574313526078745,0.1772611696331275
TMEM38B,++--,0.380838854,0.33769206324889683,0.9040770141677097,1,0.6753841264977937,0.3206683617871413,0.34251053319773356,0.6413367235742826
ZNF462,+-++,0.362226227,0.7727063685255571,0.43933318207356153,-1,0.8786663641471231,0.39757373238413485,0.4236832546313113,0.7951474647682697
RAD23B,-+--,0.092048721,0.2245158554137462,0.5017410314781509,1,0.4490317108274924,0.2201961496549219,0.23608891471741972,0.4403922993098438
KLF4,--+-,0.02926202,0.8317026429947445,0.08819085884561405,-1,0.1763817176912281,0.08143251489176231,0.08892117689792953,0.16286502978352463
ELP1,---+,0.498419702,0.8473559873125752,0.43578456876000976,-1,0.8715691375200195,0.3951038791224757,0.4212132219397021,0.7902077582449514
FAM206A,-++-,0.241919565,0.7167714499846336,0.4417803932664254,-1,0.8835607865328508,0.39931715821589425,0.4252815110788231,0.7986343164317885
CTNNAL1,----,0.192327146,0.5577909308098461,0.45621989152689735,-1,0.9124397830537947,0.4081795728606712,0.43567017798764984,0.8163591457213424
TMEM245,---+,0.211900145,0.8770665139827639,0.31056496336276623,-1,0.6211299267255325,0.2967456051140491,0.3192880494006538,0.5934912102280983
FRRS1L,-+--,0.174018314,0.2457559459678651,0.7352469659357664,1,0.4915118919357302,0.23886669088267345,0.25657416824059276,0.4777333817653469
EPB41L4B,---+,0.10448327,0.8918997928095895,0.04039195672102929,-1,0.08078391344205858,0.03276187708847886,0.03814021067925899,0.06552375417695772
PTPN3,+--+,0.325235677,0.8020155175721975,0.452765339968838,-1,0.905530679937676,0.4065087897719018,0.4330548492553578,0.8130175795438036
PALM2,----,0.101611861,0.3598350932498575,0.5550841747648034,1,0.719670186499715,0.34050127134035596,0.36415807060874616,0.6810025426807119
AKAP2,-+++,0.136043893,0.7863712401505364,0.10226652138761716,-1,0.20453304277523432,0.09712334737759698,0.10374137304758445,0.19424669475519396
TXN,-+--,0.081221912,0.20319224099596114,0.5233626425859838,1,0.4063844819919223,0.20123501634580457,0.2158215894232166,0.40247003269160914
