gene_symbol,male_Anterior_Insula_male_BA11_male_BA25_male_BA8/9_male_Nac_male_Subic,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
DNAJC9,+-+++-,0.006951694,0.020694511978118134,0.918725626191075,1,0.04138902395623627
DDX43,++++++,0.075911753,0.020713723682793388,0.99879951229403,1,0.041427447365586775
CEP295,+++-++,0.032649956,0.02071748427324488,0.9842081596110497,1,0.04143496854648976
RAD51C,+++++-,0.053952817,0.02072468575591462,0.9888350153091343,1,0.04144937151182924
CR392039.1,-+--+-,0.013073823,0.9031779774895081,0.020730929878809,-1,0.041461859757618
ALKBH7,-+++++,0.005841703,0.020731480291180805,0.8919769265576443,1,0.04146296058236161
MARCH10,++-++-,0.017448756,0.02074312632134105,0.6912446697358596,1,0.0414862526426821
NRCAM,------,0.029363758,0.9927038318788115,0.020754153554582756,-1,0.04150830710916551
ABAT,++-+-+,0.010951783,0.020773709865110273,0.83233081565249,1,0.041547419730220546
AKAP11,------,0.138235386,0.9993490484547335,0.020775001434938052,-1,0.041550002869876104
