gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
U2AF2,+--,++++++,+---,0.035547145942222295,0.020306712487867064,-,0.0406,0.012216494,10.9,1
PIGK,+--,------,+---,0.030577602301894713,0.02031048987015909,-,0.0406,0.013609665140338987,10.9,1
CMPK2,+-+,-+++++,++-+,0.032263119397956085,0.02032255420055884,-,0.0406,0.029538062342364377,10.9,1
ROBO4,++-,++++++,-+-+,0.032585209796652775,0.02033586366451406,-,0.0407,0.020957588,10.9,1
FOXN2,---,------,++-+,0.029877453438589555,0.020355235955845263,-,0.0407,0.053103464,11,1
PLD6,+-+,+---+-,NA,0.03806390058391926,0.020358236589372605,-,0.0407,0.008294897631818184,11,1
FERMT2,---,------,-+++,0.02712129287332734,0.02037041550053231,-,0.0407,0.024400562,11,1
GSPT1,+-+,------,-+++,0.0376516347706353,0.02038241273813056,-,0.0408,0.02636351,11,1
SMDT1,+++,++++++,--+-,0.026985472459835902,0.020387832030620775,-,0.0408,0.014842228,11,1
RAB26,+++,-++++-,+-+-,0.025795812199316346,0.020394836095853446,-,0.0408,4.21161e-4,11,1
GALNT7,--+,----++,++++,0.02526989597606237,0.02039649473720947,-,0.0408,0.005797004,11,1
RBM22,---,---+--,+-++,0.02965474503207964,0.020401634931078126,-,0.0408,0.024180618,11,1
BTBD2,+++,++++-+,NA,0.03790852428487175,0.020413087155900317,-,0.0408,0.004175582,11,1
NMUR1,-++,NA,NA,0.026865160848733746,0.02041863913762619,-,0.0408,0.020480813321969712,11,1
TMEM168,--+,------,++++,0.031782666837400594,0.020451882896482303,-,0.0409,0.005420321,11,1
