gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p
LIG1,+-+-,+-+-+-++,+++++-,0.7947892271427331,0.3153868351071644,-,0.631,0.030174887,170,1
RAB33B,-+--,-+--++-+,---++-,0.3154108336067117,0.5454620072075226,+,0.631,0.056338222799949794,170,1
RIIAD1,---+,-+---+++,NA,0.9562567308813303,0.31541955887957146,-,0.631,0.29859406557848195,170,1
RNF186,+++-,NA,NA,0.31544873892089215,0.6129679266623773,+,0.631,0.14750870035363278,170,1
HOXA3,+-++,NA,NA,0.6521877992591025,0.3156725870980734,-,0.631,0.2372349149802211,170,1
MINOS1-NBL1,-+--,NA,NA,0.41341038178805845,0.3160151038297553,-,0.632,0.04907644458213416,170,1
CSHL1,++++,NA,NA,0.39304941114216674,0.3162486523460528,-,0.632,0.13963189983242025,170,1
FAM110A,+-+-,+-++-++-,-++-++,0.3873833281518008,0.31626245287966365,-,0.633,0.025293739,170,1
GOLGA1,-+-+,+-+-+--+,+-++++,0.565811573478482,0.31627197961956355,-,0.633,0.049567288,170,1
ZNF662,-+-+,+++-----,NA,0.3163146558223885,0.889681643240558,+,0.633,0.09349122,170,1
MORC1,-+-+,++++++++,NA,0.31637352929221,0.5527861887947937,+,0.633,0.026685596,170,1
