gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_genome_percentile_rank,meta_meta_lower_in_MDD_genome_percentile_rank,meta_direction,meta_empirical_p,minp,Corrected_meta_empirical_p,Bonferroni_meta_empirical_p
ZNF280B,++++,+---+++-,++++-+,0.10230972172876376,0.13602413100128843,+,0.205,0.098118352,55,1
TSPYL6,---+,+---++++,NA,0.11996757627365533,0.1023125447500272,-,0.205,0.060992378,55,1
PHF13,--+-,----+---,++---+,0.10418230451068722,0.10235277401343172,-,0.205,2.31835e-4,55.1,1
TMEM175,+---,--+-++++,++----,0.14115871236372612,0.10237566975218312,-,0.205,0.002199186,55.1,1
SEC14L5,-+--,-+++---+,--++--,0.1023896914358158,0.12653878502657837,+,0.205,0.047606742,55.1,1
RCAN1,-++-,-+++++--,---+--,0.10239276980638183,0.10467765507463721,+,0.205,0.025068071,55.1,1
SYT16,++++,++-++++-,NA,0.12970906605568464,0.10246964537419304,-,0.205,0.124866748,55.1,1
POLB,+-++,+++-++++,++---+,0.11823529271058603,0.10250979267945438,-,0.205,0.059654218,55.2,1
SIN3B,+-+-,-+--++++,+++-++,0.11690771428452162,0.10254084411282596,-,0.205,0.043707986,55.2,1
BMP2K,-+--,+++-----,NA,0.14128186286340144,0.1025461524732493,-,0.205,0.072142622,55.2,1
C12orf73,-+--,++++----,NA,0.17766750313452334,0.10255914747110181,-,0.205,0.007862155,55.2,1
WDR20,-+--,+++++---,--+++-,0.11714391747024433,0.10255992826251668,-,0.205,0.001001713,55.2,1
RBM18,++++,++-+----,-+---+,0.1025600716663866,0.12120871649770959,+,0.205,0.050452715,55.2,1
DRC7,----,+-++---+,NA,0.1025672923357856,0.10338179858509669,+,0.205,0.1004914796197863,55.2,1
CARS,-++-,+-++--++,-++--+,0.11914042208544627,0.10257153672282734,-,0.205,0.005972846,55.2,1
TMPO,-+++,++-+----,---+-+,0.10557204092158051,0.10260850875475647,-,0.205,0.023438296,55.2,1
DOT1L,----,--+-++++,NA,0.1467415640934654,0.10260932636416253,-,0.205,0.005405702,55.2,1
GPR85,--+-,++++----,---+-+,0.11273756706488194,0.1026183289687613,-,0.205,0.002800281,55.2,1
PURG,-+-+,+-------,+++---,0.13925701918661218,0.10262059879258809,-,0.205,0.004210172,55.2,1
