gene_symbol,female_ACC.1_female_ACC.2_female_AMY_female_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
NFIL3,----,0.076602154,0.979561585612436,0.07464756053755081,-1,0.14929512107510162
SRPR,+---,0.187636798,0.9213710099638401,0.0747003495183751,-1,0.1494006990367502
MMP17,+-++,0.057447566,0.07478539575277998,0.9358040086430973,1,0.14957079150555996
TDG,++++,0.134163764,0.07484689332097587,0.9774549217766392,1,0.14969378664195174
PCDHAC2,+-+-,0.057932303,0.07488327918858453,0.8685378606051581,1,0.14976655837716907
MAGED1,-+--,0.045354775,0.8938441390087059,0.07497059695852012,-1,0.14994119391704025
ZNF507,++++,0.148438764,0.07499593756370623,0.9821156658731626,1,0.14999187512741247
SARS,-+--,0.025481273,0.7841767538154026,0.07512575274951226,-1,0.15025150549902452
ING1,+-+-,0.016093539,0.07514620422344243,0.6648995511083057,1,0.15029240844688485
OVGP1,++++,0.264164045,0.07522721689447792,0.9926021778102716,1,0.15045443378895584
PENK,-+--,0.088859457,0.8232685732243042,0.07523197293020496,-1,0.15046394586040993
SPHK2,++--,0.039957397,0.16191052069543385,0.07531505731743776,-1,0.15063011463487552
EIF4A2,++--,0.026694288,0.41614549221570524,0.0753177457320867,-1,0.1506354914641734
HEATR5B,+---,0.103549157,0.9324189853666711,0.07534359506084043,-1,0.15068719012168086
C19orf22,-+++,0.070019195,0.07536191059071842,0.5260842363024191,1,0.15072382118143685
HMGCL,-+--,0.023711704,0.7094229027545702,0.07542984863014925,-1,0.1508596972602985
DLX5,-+-+,0.033907584,0.34803612005111295,0.07544390542856558,-1,0.15088781085713115
PCYT1A,++++,0.196227341,0.07551253480394876,0.9893759084737281,1,0.15102506960789752
COX17,++--,0.019748502,0.5649810330375163,0.0755510749868362,-1,0.1511021499736724
TRAPPC2,-+-+,0.013994663,0.07567115930848578,0.35563595345497134,1,0.15134231861697156
PLA2G12A,---+,0.090341854,0.8427416255032847,0.07571721209100213,-1,0.15143442418200426
NRIP3,+-+-,0.040829401,0.7129664263422801,0.0757190221761095,-1,0.151438044352219
VASH1,--+-,0.003246255,0.07574017274395936,0.07983939580344605,1,0.15148034548791872
