gene_symbol,female_ACC.1_female_ACC.2_female_DLPFC_male_ACC.1_male_ACC.2_male_DLPFC,min_p_across_regions,meta_higher_in_MDD_pvalue,meta_lower_in_MDD_pvalue,meta_direction,meta_p
SMPD2,+-+-++,0.099256086,0.2988339334567345,0.8920605872974618,1,0.597667866913469
FMO2,+---++,0.104599251,0.8772524365291559,0.07403928139209927,-1,0.14807856278419854
PRCC,--+--+,0.246830805,0.7373054437052174,0.31809599909890207,-1,0.6361919981978041
BYSL,++---+,0.03778736,0.21218751668967153,0.810403089607474,1,0.42437503337934307
TTC15,-+++--,0.093808989,0.11648855361925836,0.6226044799443079,1,0.23297710723851672
USP16,---+++,0.176716854,0.9994928471967323,0.025006897898387163,-1,0.05001379579677433
GCA,---+++,0.021698596,0.9959424056170498,0.015373241666472163,-1,0.030746483332944326
UBE2F,++-+-+,0.09657706,0.6107498727019907,0.2886775009308111,-1,0.5773550018616223
PABPC4,++-++-,0.09608867,0.3045439394173303,0.598149504471209,1,0.6090878788346606
DOC2A,+++--+,0.063283708,0.024899557252821506,0.9922386472720579,1,0.04979911450564301
C16orf68,---+-+,0.102554026,0.9760296010626555,0.12022331922291406,-1,0.24044663844582811
FAM118B,--+-++,0.047581461,0.8859034234772333,0.14267977564840248,-1,0.28535955129680496
ERBB2IP,--+-+-,0.018210861,0.9267155140596909,0.03508556970040467,-1,0.07017113940080934
TMEM185B,+---++,0.052832584,0.8791309954380401,0.06926976527992261,-1,0.13853953055984522
RPS17,-++++-,0.122526685,0.7550397886026867,0.19422194160693856,-1,0.38844388321387713
BCAP31,+++-++,0.32715721,0.35934962725784436,0.8347501541285163,1,0.7186992545156887
STX5,--++++,0.112672004,0.9491033640182189,0.10943792215647878,-1,0.21887584431295756
TMEM143,-++--+,0.099167228,0.4985755886765502,0.4620953506680919,-1,0.9241907013361838
C6orf204,+-++--,0.078723034,0.11816180408578751,0.7099409341074229,1,0.23632360817157502
RBM16,+-+-+-,0.155210581,0.5325951809937148,0.5970675605647955,1,1.0651903619874297
DDX56,+++---,0.090562828,0.016541000360739994,0.9992910987516461,1,0.03308200072147999
CCND1,+---++,0.23215103,0.8457613484693692,0.2841562591867154,-1,0.5683125183734308
SAP130,-+-+--,0.181761891,0.3190609568254994,0.8212429846274925,1,0.6381219136509988
CHFR,+-+-+-,0.184408989,0.3556869523755939,0.48386072545221676,1,0.7113739047511878
RMND1,++---+,0.025250375,0.7774062761373922,0.06865518415795034,-1,0.13731036831590068
FBLN5,++-++-,0.186099532,0.3073421491628577,0.8454388481955216,1,0.6146842983257154
GLA,-+-+++,0.189010112,0.9861608072716314,0.11021700935208134,-1,0.22043401870416268
SFRS6,+---+-,0.033651873,0.2243572423338021,0.5138221163928904,1,0.4487144846676042
CCDC137,+++---,0.080884082,0.06864354316234939,0.9880803975836445,1,0.13728708632469877
SPARCL1,-+--++,0.062618071,0.7022485691006737,0.13217602938476078,-1,0.26435205876952156
MYO1C,++++--,0.040125187,0.05079640355881823,0.9768606637059598,1,0.10159280711763646
CHAF1B,-+--++,0.101459082,0.5051444026737282,0.17659227707506772,-1,0.35318455415013544
LSM14A,--+++-,0.122033989,0.5848892127201536,0.2585849545003063,-1,0.5171699090006125
C3orf54,++-+--,0.079300843,0.23694316416657873,0.6785658407095672,1,0.47388632833315747
TRUB2,++++++,0.232151779,0.5699430311556093,0.7222295841767592,1,1.1398860623112186
GPR83,+-----,0.063126873,0.06808850986945562,0.9516588934064599,1,0.13617701973891125
