gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p
INHBA,--+-,----+++-,NA,0.8669272397617866,7.923789955396598e-5,-,1.58e-4,1.88165e-4,0.0426,1
RPL9,+-++,++++++++,-+--++,8.018962463175184e-5,0.9603309523105692,+,1.6e-4,0.012730986,0.0431,1
C9orf3,----,--------,+--+--,0.999350848156161,8.033908600457024e-5,-,1.61e-4,0.003479084,0.0432,1
MIF,+-+-,++-+++++,-+----,8.068413586445298e-5,0.03237418828266054,+,1.61e-4,5.35398e-4,0.0434,1
ETS2,+-+-,------+-,+-----,0.9709879634879566,8.1436685469887e-5,-,1.63e-4,0.029133146,0.0438,1
TMEM116,----,+++-+---,-----+,0.5140468340076219,8.269926673727977e-5,-,1.65e-4,9.82678e-4,0.0445,1
FBXO7,-+--,+++-----,---++-,0.8464984281837713,8.306592554028136e-5,-,1.66e-4,0.002501404,0.0447,1
SURF1,+---,++++++++,--+--+,8.43281108866529e-5,0.08832476237236433,+,1.69e-4,0.007982506,0.0454,1
INSR,-+--,-+------,+--+--,0.9889151523864704,8.493521564097067e-5,-,1.7e-4,0.010435322,0.0457,1
S100A8,++--,++-+++++,-+----,8.532615734499599e-5,0.032255589326345556,+,1.71e-4,5.35398e-4,0.0459,1
GDNF,-+--,-++-++--,+--+++,0.3391665132828391,8.816690344908504e-5,-,1.76e-4,0.011846113,0.0474,1
GDNF,-+--,-++-++--,-+----,0.3391665132828391,8.816690344908504e-5,-,1.76e-4,0.011846113,0.0474,1
GDNF,-+--,++-+-++-,+--+++,0.3391665132828391,8.816690344908504e-5,-,1.76e-4,0.011846113,0.0474,1
GDNF,-+--,++-+-++-,-+----,0.3391665132828391,8.816690344908504e-5,-,1.76e-4,0.011846113,0.0474,1
DVL1,+-+-,++--++++,+++---,8.978025807120134e-5,0.7493315367779106,+,1.8e-4,9.07e-5,0.0483,1
CHST10,+++-,-+++-++-,++++--,8.999910219485564e-5,0.9208391961364581,+,1.8e-4,6.14e-5,0.0484,1
