gene_symbol,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_Correction
MARCH10,++--,+-++++-+,NA,0.2739491592962117,0.18395675196259084,-,0.3679135039251817,0.017448756,98.96873255587387,1
DMBT1,-+--,NA,NA,0.18397471365985357,0.2470916589091848,+,0.36794942731970715,0.025502140250662275,98.97839594900123,1
UBE2E2,+++-,--++-+++,++----,0.18400468006825813,0.20755993390687325,+,0.36800936013651625,0.003279687,98.99451787672287,1
PGBD3,-++-,NA,NA,0.21291305275859942,0.18403180442908249,-,0.36806360885816497,0.01942669448816644,99.00911078284638,1
XDH,+--+,NA,NA,0.7370742804789749,0.18405704846344834,-,0.36811409692689667,0.17669819009406168,99.02269207333521,1
HSPB9,----,NA,NA,0.5141564590339694,0.18406660165945873,-,0.36813320331891747,0.03202633968919971,99.0278316927888,1
GPR158,++++,-+++----,------,0.18409950333959318,0.9917835327990954,+,0.36819900667918637,0.128815169,99.04553279670114,1
COPE,+-+-,+++--+++,++--+-,0.19528446019212498,0.1841243067744214,-,0.3682486135488428,0.005595577,99.05887704463872,1
FUT11,-++-,++++----,NA,0.18414758616105284,0.5502301066993616,+,0.3682951723221057,0.03375331816694098,99.07140135464643,1
POLDIP2,+-+-,+++++++-,-+----,0.18417202918317518,0.396493340877631,+,0.36834405836635037,0.004495863184633722,99.08455170054825,1
FOLR1,+--+,NA,+---+-,0.46753577317262607,0.1842255091852165,-,0.368451018370433,0.002576217,99.11332394164647,1
PIH1D2,-+++,+++-++--,NA,0.6708575233985913,0.184270096683897,-,0.368540193367794,0.051423558,99.13731201593659,1
SCAMP3,+-+-,+-++-+++,-----+,0.8195305928201952,0.18427892305569177,-,0.36855784611138354,0.030105524,99.14206060396216,1
MRPS9,+-+-,+++++---,++-+-+,0.18432819356223526,0.9699048298737691,+,0.3686563871244705,0.110575094,99.16856813648256,1
CD300LB,--+-,NA,NA,0.9019120277026976,0.1845510597607883,-,0.3691021195215766,0.11923055982265221,99.28847015130411,1
CLEC16A,++++,----+--+,++--+-,0.18703981492287705,0.18456140864829887,-,0.36912281729659774,0.038955235,99.2940378527848,1
FAM32A,+++-,+-++++++,NA,0.5700663813049088,0.18459490133943635,-,0.3691898026788727,0.005827539,99.31205692061675,1
POTEA,-++-,NA,NA,0.18463100543467098,0.7154426406069139,+,0.36926201086934196,0.029291259953134547,99.331480923853,1
ADI1,--++,+++--+--,++-+++,0.7926048546358792,0.1846876691152485,-,0.369375338230497,0.082205899,99.36196598400369,1
NLE1,+++-,+-+-++++,-+++-+,0.18470346139182817,0.5954784983883709,+,0.36940692278365633,0.070356648,99.37046222880355,1
CLLU1,---+,NA,NA,0.9634268581003339,0.18474384440154948,-,0.36948768880309896,0.17354476594950416,99.39218828803362,1
UBE3C,++++,-+--+---,+--+-+,0.20949506266288093,0.18476852326579388,-,0.36953704653158775,0.049407861494691084,99.40546551699711,1
TXNIP,---+,-++-++-+,--++++,0.9919448249265648,0.18480780365224922,-,0.36961560730449844,0.16023226740133784,99.42659836491008,1
AP1AR,++++,++++++++,NA,0.18482900557290355,0.9646397895117608,+,0.3696580111458071,0.083863244,99.43800499822211,1
PLCXD3,-+++,-++----+,+--+-+,0.9225738460679911,0.18485642450996473,-,0.36971284901992946,0.04096130769106695,99.45275638636102,1
PLAUR,++--,+------+,NA,0.1848641552109512,0.8129427844378228,+,0.3697283104219024,0.01935446530551173,99.45691550349174,1
MTURN,--+-,++++--++,--++++,0.8211086626115685,0.18489341257287795,-,0.3697868251457559,0.064605573,99.47265596420833,1
RPS6KB2,----,-+--++++,---+--,0.8413083491641109,0.1849122079209448,-,0.3698244158418896,0.049393633,99.48276786146829,1
GCKR,++--,++--+-++,NA,0.5115173701098167,0.18491416385304998,-,0.36982832770609997,0.015068758,99.4838201529409,1
POLQ,+-+-,-+--+-++,NA,0.955198966857111,0.18491830962506475,-,0.3698366192501295,0.040271971,99.48605057828483,1
BCCIP,---+,+-+----+,--++-+,0.44935371543739794,0.1850028808300829,-,0.3700057616601658,0.0169853,99.5315498865846,1
RCN2,+-++,++++++--,+--+-+,0.18500297685929679,0.21703364962283606,+,0.37000595371859357,0.005547191,99.53160155030167,1
DDX28,+++-,++--+++-,++-+--,0.18510793975126416,0.901078405544982,+,0.3702158795025283,0.082747566,99.58807158618012,1
FCAMR,+++-,NA,NA,0.18515646877652883,0.7375900112727813,+,0.37031293755305766,0.1330039418664632,99.61418020177251,1
ENTPD4,++++,-+++----,++++--,0.18527094297859215,0.9046598362784615,+,0.3705418859571843,0.07603792550448642,99.67576732248257,1
XYLT1,---+,------+-,-++---,0.18527216419939263,0.7373816209463532,+,0.37054432839878526,0.045635674,99.67642433927324,1
NR1H4,++-+,NA,NA,0.18533690432999864,0.7426022689315812,+,0.3706738086599973,0.033010113408335116,99.71125452953926,1
CD80,---+,NA,NA,0.697350434748032,0.18537731373690028,-,0.37075462747380056,0.09014822391494091,99.73299479045235,1
SSTR4,--++,NA,NA,0.9734185230086003,0.18539630421631287,-,0.37079260843262574,0.25466677659968423,99.74321166837632,1
BDKRB2,-++-,-+-++--+,NA,0.448093325715064,0.18540915466146352,-,0.37081830932292703,0.00691921658047984,99.75012520786737,1
